epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.876,2.67673,6.50074,1.73835,4e-05,0.00042,3e-05,1e-05,2.94386,4.66993,2.25603,0.000249588,0.000249588,0.000249588
2,244.386,2.19393,4.72147,1.33558,0.0005,0.12979,0.00347,0.00155,2.77003,4.45542,1.78679,0.000498766,0.000498766,0.000498766
3,354.109,2.09903,4.10641,1.31021,0.00222,0.03354,0.00472,0.00251,2.54368,4.41328,1.91841,0.000740693,0.000740693,0.000740693
4,466.544,2.05579,3.70842,1.29872,0.00046,0.00094,0.00079,0.00051,4.03811,5.22934,4.08586,0.000736372,0.000736372,0.000736372
5,578.811,2.03331,3.41128,1.29159,0.49642,0.04192,0.02807,0.01384,1.97585,3.21402,1.25036,0.000725497,0.000725497,0.000725497
6,693.045,2.02164,3.14704,1.29297,0.34807,0.0241,0.00562,0.00338,2.59521,4.52045,1.47242,0.000714621,0.000714621,0.000714621
7,804.521,1.97392,3.03617,1.26296,0.37333,0.02709,0.01091,0.00498,2.57405,4.32528,1.77518,0.000703745,0.000703745,0.000703745
8,914.623,1.97467,2.96166,1.27525,0.25092,0.01425,0.00832,0.00394,2.73993,4.66192,1.86524,0.000692869,0.000692869,0.000692869
9,1029.51,1.94393,2.83651,1.25688,0.37135,0.03491,0.02617,0.01353,1.94937,3.72002,1.29111,0.000681993,0.000681993,0.000681993
10,1139.63,1.93481,2.73151,1.24126,0.55597,0.12167,0.05993,0.03113,1.97874,2.70739,1.22403,0.000671117,0.000671117,0.000671117
11,1252.14,1.92166,2.71134,1.23996,0.61671,0.02389,0.02425,0.01054,2.51007,4.33109,1.59652,0.000660241,0.000660241,0.000660241
12,1361.29,1.916,2.66245,1.25478,0.53458,0.11956,0.06165,0.031,1.80876,2.78139,1.23137,0.000649366,0.000649366,0.000649366
13,1471.14,1.8959,2.58974,1.22187,0.64525,0.15453,0.06312,0.03152,1.84109,2.80457,1.22416,0.00063849,0.00063849,0.00063849
14,1584.89,1.8893,2.56079,1.22793,0.39187,0.04176,0.04198,0.02396,1.9062,3.29366,1.29381,0.000627614,0.000627614,0.000627614
15,1693.58,1.86916,2.54095,1.22398,0.25791,0.01807,0.01199,0.00534,2.33266,4.33115,1.45417,0.000616738,0.000616738,0.000616738
16,1805.52,1.88749,2.47989,1.2312,0.48736,0.03533,0.01779,0.01046,2.24511,4.57446,1.52645,0.000605862,0.000605862,0.000605862
17,1913.95,1.85414,2.46674,1.22073,0.69679,0.05454,0.03972,0.02177,1.94918,3.33758,1.27244,0.000594986,0.000594986,0.000594986
18,2022.76,1.86794,2.4437,1.21425,0.4629,0.05162,0.0184,0.00984,1.93567,3.62602,1.24683,0.00058411,0.00058411,0.00058411
19,2132.35,1.83431,2.4152,1.19984,0.37494,0.04451,0.02265,0.01184,2.35677,4.52665,1.5851,0.000573235,0.000573235,0.000573235
20,2243.02,1.85111,2.39761,1.21362,0.71444,0.05321,0.03572,0.02069,1.91949,3.68672,1.29719,0.000562359,0.000562359,0.000562359
21,2356.05,1.83678,2.34105,1.20715,0.59005,0.04978,0.014,0.00663,2.20541,4.26102,1.27059,0.000551483,0.000551483,0.000551483
22,2464.74,1.81249,2.32604,1.19807,0.49528,0.05986,0.05423,0.03199,1.87946,3.83894,1.23678,0.000540607,0.000540607,0.000540607
23,2574.56,1.80291,2.27903,1.20181,0.35075,0.16978,0.0906,0.04904,1.74213,2.41546,1.19822,0.000529731,0.000529731,0.000529731
24,2686.75,1.78319,2.24421,1.1848,0.51361,0.03134,0.03209,0.01637,1.92068,3.47024,1.29194,0.000518855,0.000518855,0.000518855
25,2794.36,1.79589,2.23821,1.18763,0.4174,0.13947,0.09354,0.04892,1.83621,2.69913,1.19931,0.000507979,0.000507979,0.000507979
26,2906.79,1.7956,2.23957,1.1933,0.4884,0.05508,0.04005,0.02354,1.87198,3.45021,1.28937,0.000497104,0.000497104,0.000497104
27,3017.02,1.77774,2.23414,1.17907,0.34331,0.16511,0.08083,0.04257,1.80578,2.50307,1.21247,0.000486228,0.000486228,0.000486228
28,3126.84,1.78256,2.19719,1.17928,0.28299,0.04804,0.05037,0.02398,1.96376,3.567,1.28012,0.000475352,0.000475352,0.000475352
29,3236.51,1.77172,2.17569,1.17612,0.57434,0.14353,0.08093,0.04145,1.85335,2.57275,1.18711,0.000464476,0.000464476,0.000464476
30,3346.06,1.76426,2.15463,1.16994,0.4792,0.12038,0.06612,0.03368,1.9469,2.77413,1.24383,0.0004536,0.0004536,0.0004536
31,3458.46,1.75484,2.1215,1.1688,0.42795,0.10629,0.06543,0.03649,1.78662,2.9441,1.17539,0.000442724,0.000442724,0.000442724
32,3568.27,1.72672,2.05796,1.15862,0.44058,0.13815,0.07759,0.04001,1.81758,2.54932,1.24992,0.000431848,0.000431848,0.000431848
33,3680.15,1.73726,2.09929,1.16094,0.11232,0.18105,0.08029,0.04486,1.75377,2.44269,1.21085,0.000420973,0.000420973,0.000420973
34,3789.88,1.70687,2.0401,1.14885,0.42602,0.09499,0.07969,0.04961,1.84037,3.10388,1.21407,0.000410097,0.000410097,0.000410097
35,3901.51,1.73257,2.02309,1.1517,0.42614,0.12541,0.06488,0.03593,1.83093,2.74268,1.20582,0.000399221,0.000399221,0.000399221
36,4011.93,1.70518,2.00124,1.14523,0.33601,0.13032,0.07602,0.04069,1.84135,2.63418,1.22204,0.000388345,0.000388345,0.000388345
37,4120.49,1.70412,1.95473,1.14996,0.30009,0.08731,0.05095,0.02907,1.93676,3.25586,1.21076,0.000377469,0.000377469,0.000377469
38,4231.19,1.70888,1.96905,1.15259,0.02239,0.11174,0.0279,0.01596,2.19796,4.55373,1.44363,0.000366593,0.000366593,0.000366593
39,4341.86,1.7166,2.00273,1.14652,0.36234,0.18336,0.09409,0.0577,1.77107,2.58795,1.18217,0.000355717,0.000355717,0.000355717
